feature_name,max_value,min_value
id_invicrot1_area_mtg_sn_snr_rightcit168,461.60294,201.92526
id_invicrot1_area_left_superior_parietaldktcortex,14228.399,3828.173
id_invicrot1_thk_ch13_rightbf,1.2381319,0.22036569
id_invicrot1_vol_superior_longitudinal_fasciculus_rwmtracts_right,5602.0303,1790.019
id_invicrot1_area_left_lingualdktcortex,9345.656,3180.5398
id_invicrot1_thk_right_isthmus_cingulatedktregions,1.4875147,0.8360831
id_invicrot1_thk_right_transverse_temporaldktregions,1.4350487,0.6348497
id_invicrot1_area_mtg_vtr_pbp_rightcit168,266.07605,89.502205
id_invicrot1_area_cerebellum_rdktlobes,18926.969,4430.211
id_invicrot1_vol_right_hippocampushipplr,5360.029,531.0022
id_invicrot1_thk_right_entorhinaldktcortex,2.0744846,0.7116559
id_invicrot1_vol_thm_eth_hn_rightcit168,101.00046,18.687742
id_invicrot1_thk_right_lingualdktcortex,1.5418718,0.6666984
id_invicrot1_thk_mtg_sn_snr_leftdeep_cit168,9.034778,0.46501666
id_invicrot1_thk_right_pars_orbitalisdktregions,1.6546665,0.5059006
id_invicrot1_area_die_hth_rightcit168,984.3094,461.6093
id_invicrot1_area_left_cerebellem_exteriordktregions,19141.285,6939.2153
id_invicrot1_area_nbm_right_posbf,318.0008,0.6754498
id_invicrot1_thk_left_lingualdktcortex,1.5357376,0.6648189
id_invicrot1_area_brainstem_rdktlobes,7510.624,2012.8461
id_invicrot1_vol_right_paracentraldktregions,7545.9795,2006.2501
id_invicrot1_vol_bn_gp_gpi_rightcit168,748.9976,155.00023
id_invicrot1_thk_right_superior_frontaldktregions,2.0496817,1.2487609
id_invicrot1_area_right_isthmus_cingulatedktcortex,3419.1653,884.18097
id_invicrot1_thk_right_caudatedktregions,2.920727,1.3823138
id_invicrot1_vol_right_superior_frontaldktcortex,36730.023,7234.102
id_invicrot1_thk_nbm_left_antbf,1.2282627,0.5554532
id_invicrot1_area_left_lateral_occipitaldktregions,13168.897,4764.8354
id_invicrot1_area_mtg_vtr_vta_rightcit168,128.50386,33.033127
id_invicrot1_thk_bn_gp_vep_leftcit168,1.0468552,0.49213114
id_invicrot1_vol_left_medial_orbitofrontaldktregions,7076.0,1703.0088
id_invicrot1_thk_bn_str_pu_leftdeep_cit168,2.8632047,0.959017
id_invicrot1_area_left_caudal_middle_frontaldktcortex,8855.771,2272.3066
id_invicrot1_thk_left_fusiformdktregions,1.7931232,0.92334044
id_invicrot1_thk_mtg_sn_snr_rightsnseg,1.0861261,0.50484496
id_invicrot1_area_exa_rightcit168,378.97644,166.98222
id_invicrot1_randbasisproj04,269.24384,-470.2403
id_invicrot1_vol_left_cuneusdktregions,7048.0,1519.9349
id_invicrot1_area_left_pars_opercularisdktregions,5465.6987,1147.0151
id_invicrot1_area_left_pericalcarinedktcortex,3667.9446,375.03003
id_invicrot1_thk_referenceregion_rightdeep_cit168,0.827536,0.4103349
id_invicrot1_thk_mtg_rn_leftcit168,1.4543751,0.8124935
id_invicrot1_area_ch13_leftbf,322.22046,20.091084
id_invicrot1_vol_right_superior_temporaldktcortex,20930.873,4285.0
id_invicrot1_thk_mtg_sn_snc_rightdeep_cit168,9.237965,0.42731962
id_invicrot1_thk_uncinate_lwmtracts_left,1.0562091,0.66622007
id_invicrot1_vol_parietal_rdktlobes,210178.12,68521.875
id_invicrot1_area_parietal_rdktlobes,49757.965,22159.63
id_invicrot1_vol_nbm_left_antbf,432.25073,72.999794
id_invicrot1_vol_right_entorhinaldktcortex,4376.984,570.3959
id_invicrot1_thk_right_precentraldktcortex,1.244061,0.50744927
id_invicrot1_randbasisproj07,273.4375,-474.05115
id_invicrot1_thk_right_putamendktregions,2.7109432,1.4970299
id_invicrot1_vol_ch13_rightbf,354.99988,1.8129007
id_invicrot1_vol_exa_leftcit168,347.9986,105.0
id_invicrot1_area_mtg_sn_snc_leftcit168,307.46454,107.67529
id_invicrot1_area_left_perirhinalmtl,2109.3633,123.24116
id_invicrot1_area_left_cuneusdktregions,5991.5405,1742.9183
id_invicrot1_vol_bn_str_pu_leftdeep_cit168,8870.992,1863.7501
id_invicrot1_area_die_sth_rightcit168,248.44992,97.559296
id_invicrot1_thk_left_pericalcarinedktcortex,1.3699974,0.41956073
id_invicrot1_area_right_rostral_anterior_cingulatedktregions,3395.7986,626.9964
id_invicrot1_thk_right_caudal_middle_frontaldktcortex,1.5212699,0.5145699
id_invicrot1_vol_right_cuneusdktregions,7751.9966,1931.5117
id_invicrot1_randbasisprojpos10,9378.678,-55235.273
id_invicrot1_thk_cerebellar_vermal_lobules_i_vdktregions,3.3745108,1.7596533
id_invicrot1_thk_right_pars_triangularisdktregions,1.6214134,0.9222161
id_invicrot1_area_right_middle_temporaldktcortex,14631.527,4385.223
id_invicrot1_vol_right_precentraldktcortex,15907.042,2638.8281
id_invicrot1_vol_cerebellum_rdktlobes,125243.49,8646.195
id_invicrot1_thk_right_medial_orbitofrontaldktregions,1.7305833,0.85894907
id_invicrot1_vol_brainstem_rdktlobes,20551.916,2035.0104
id_invicrot1_randbasisproj03,461.07452,-306.39957
id_invicrot1_thk_left_medial_orbitofrontaldktregions,1.5204709,0.92656225
id_invicrot1_vol_left_pars_orbitalisdktcortex,4070.9958,471.44534
id_invicrot1_area_mtg_sn_snr_leftcit168,455.70816,179.94633
id_invicrot1_area_left_inferior_temporaldktregions,11367.893,4598.129
id_invicrot1_area_csfdktregions,1101.3248,307.71616
id_invicrot1_vol_right_parahippocampaldktregions,3295.0117,361.00186
id_invicrot1_area_bn_str_pu_leftcit168,3068.2156,1503.69
id_invicrot1_area_right_transverse_temporaldktcortex,2049.877,155.26276
id_invicrot1_area_referenceregion_leftdeep_cit168,324.88705,19.791418
id_invicrot1_thk_left_pars_triangularisdktcortex,1.460115,0.48378932
id_invicrot1_thk_left_rostral_middle_frontaldktcortex,1.7354642,0.63074726
id_invicrot1_thk_superior_longitudinal_fasciculus_lwmtracts_left,1.963695,1.3071742
id_invicrot1_vol_right_pmecmtl,752.00055,1.237732
id_invicrot1_vol_right_ventral_dcdktregions,6823.0015,464.00238
id_invicrot1_vol_bn_gp_gpi_leftdeep_cit168,826.0,26.696775
id_invicrot1_randbasisproj05,411.4031,-396.39294
id_invicrot1_vol_left_middle_temporaldktregions,25584.137,5470.664
id_invicrot1_area_right_lateral_occipitaldktcortex,14734.95,5425.3354
id_invicrot1_thk_right_parahippocampaldktregions,1.5978866,0.6840417
id_invicrot1_area_nbm_right_antbf,441.1649,72.476395
id_invicrot1_vol_mtg_sn_snc_leftdeep_cit168,209.0,6.18866
id_invicrot1_thk_left_lateral_orbitofrontaldktregions,2.040876,1.196135
id_invicrot1_thk_right_precuneusdktregions,1.7526568,1.1029463
id_invicrot1_area_left_alecmtl,1242.2242,8.707769
id_invicrot1_thk_left_insuladktcortex,2.0239735,0.6348737
id_invicrot1_thk_left_inferior_temporaldktregions,2.2044237,1.2967899
id_invicrot1_vol_left_superior_temporaldktcortex,24405.861,3763.1252
id_invicrot1_area_right_fusiformdktcortex,10559.791,3515.468
id_invicrot1_vol_right_lingualdktcortex,12222.97,2503.8281
id_invicrot1_vol_die_sth_rightcit168,259.9992,60.067745
id_invicrot1_area_left_medial_orbitofrontaldktregions,5159.046,1837.9863
id_invicrot1_thk_mtg_rn_rightcit168,1.5508815,0.8195388
id_invicrot1_area_right_lateral_orbitofrontaldktcortex,9071.397,2889.6096
id_invicrot1_vol_left_caudatedktregions,13574.4,1241.0
id_invicrot1_vol_inferior_longitudinal_fasciculus_rwmtracts_right,21414.115,7966.7993
